SEX,AGE,ISO,ANNEE,TAUX_CHOMAGE
F,30-54,FI,2015,6.8
F,30-54,FR,2015,8.2
F,30-54,HR,2015,14.4
F,30-54,HU,2015,6.2
F,30-54,IE,2015,7.7
F,30-54,IS,2015,3.5
F,30-54,IT,2015,10.6
F,30-54,LT,2015,7.4
F,30-54,LU,2015,6.2
F,30-54,LV,2015,8.3
F,30-54,ME,2015,15.3
F,30-54,MK,2015,21.7
F,30-54,MT,2015,4.2
F,30-54,NL,2015,6.3
F,30-54,NO,2015,3.4
F,30-54,PL,2015,6.6
F,30-54,PT,2015,10.9
F,30-54,RO,2015,4.5
F,30-54,RS,2015,16.2
F,30-54,SE,2015,5.3
F,30-54,SI,2015,8.7
F,30-54,SK,2015,11.9
F,30-54,TR,2015,9.8
F,30-64,AT,2015,4.6
F,30-64,BE,2015,6.3
F,30-64,BG,2015,7.5
F,30-64,CH,2015,4.3
F,30-64,CY,2015,11.6
F,30-64,CZ,2015,5.4
F,30-64,DE,2015,3.9
F,30-64,DK,2015,5.3
F,30-64,EE,2015,5.6
F,30-64,GR,2015,25.5
F,30-64,ES,2015,21.1
F,30-64,FI,2015,6.9
F,30-64,FR,2015,7.9
F,30-64,HR,2015,13.9
F,30-64,HU,2015,6.1
F,30-64,IE,2015,7.5
F,30-64,IS,2015,3.4
F,30-64,IT,2015,9.5
F,30-64,LT,2015,7.3
F,30-64,LU,2015,5.9
F,30-64,LV,2015,8.1
F,30-64,ME,2015,14.5
F,30-64,MK,2015,21.0
F,30-64,MT,2015,4.1
F,30-64,NL,2015,6.6
F,30-64,NO,2015,3.0
F,30-64,PL,2015,6.3
F,30-64,PT,2015,10.9
F,30-64,RO,2015,4.2
F,30-64,RS,2015,15.2
F,30-64,SE,2015,5.1
F,30-64,SI,2015,8.5
F,30-64,SK,2015,11.7
F,30-64,TR,2015,9.1
F,30-74,AT,2015,4.5
F,30-74,BE,2015,6.2
F,30-74,BG,2015,7.5
F,30-74,CH,2015,4.2
F,30-74,CY,2015,11.5
F,30-74,CZ,2015,5.3
F,30-74,DE,2015,3.9
F,30-74,DK,2015,5.1
F,30-74,EE,2015,5.6
F,30-74,GR,2015,25.3
F,30-74,ES,2015,21.0
F,30-74,FI,2015,6.7
F,30-74,FR,2015,7.9
F,30-74,HR,2015,13.7
F,30-74,HU,2015,6.0
F,30-74,IE,2015,7.5
F,30-74,IS,2015,3.3
F,30-74,IT,2015,9.4
F,30-74,LT,2015,7.1
F,30-74,LU,2015,5.9
F,30-74,LV,2015,8.0
F,30-74,ME,2015,14.3
F,30-74,MK,2015,20.8
F,30-74,MT,2015,4.1
F,30-74,NL,2015,6.5
F,30-74,NO,2015,2.9
F,30-74,PL,2015,6.2
F,30-74,PT,2015,10.6
F,30-74,RO,2015,4.0
F,30-74,RS,2015,14.9
F,30-74,SE,2015,5.0
F,30-74,SI,2015,8.4
F,30-74,SK,2015,11.6
F,30-74,TR,2015,8.8
F,35-39,AT,2015,5.0
F,35-39,BE,2015,6.1
F,35-39,BG,2015,6.6
F,35-39,CH,2015,4.9
F,35-39,CY,2015,11.2
F,35-39,CZ,2015,6.5
F,35-39,DE,2015,3.9
F,35-39,DK,2015,5.6
F,35-39,EE,2015,6.0
F,35-39,GR,2015,29.0
F,35-39,ES,2015,20.7
F,35-39,FI,2015,7.6
F,35-39,FR,2015,8.9
F,35-39,HR,2015,14.8
F,35-39,HU,2015,7.0
F,35-39,IE,2015,7.2
F,35-39,IT,2015,11.8
F,35-39,LT,2015,7.8
F,35-39,LU,2015,4.5
F,35-39,LV,2015,10.2
F,35-39,ME,2015,17.5
F,35-39,MK,2015,22.6
F,35-39,MT,2015,4.1
F,35-39,NL,2015,6.3
F,35-39,NO,2015,4.5
F,35-39,PL,2015,6.3
F,35-39,PT,2015,10.3
F,35-39,RO,2015,4.8
F,35-39,RS,2015,17.6
F,35-39,SE,2015,6.7
F,35-39,SI,2015,10.2
F,35-39,SK,2015,11.4
F,35-39,TR,2015,10.8
F,40-44,AT,2015,4.8
F,40-44,BE,2015,6.7
F,40-44,BG,2015,7.7
F,40-44,CH,2015,4.4
F,40-44,CY,2015,10.8
F,40-44,CZ,2015,5.1
F,40-44,DE,2015,3.8
F,40-44,DK,2015,4.5
F,40-44,EE,2015,6.4
F,40-44,GR,2015,26.2
F,40-44,ES,2015,21.3
F,40-44,FI,2015,5.9
F,40-44,FR,2015,7.8
F,40-44,HR,2015,13.2
F,40-44,HU,2015,5.9
F,40-44,IE,2015,7.8
F,40-44,IT,2015,10.3
F,40-44,LT,2015,7.6
F,40-44,LU,2015,4.6
F,40-44,LV,2015,8.0
F,40-44,ME,2015,15.9
F,40-44,MK,2015,19.8
F,40-44,MT,2015,4.8
F,40-44,NL,2015,6.4
F,40-44,NO,2015,3.0
F,40-44,PL,2015,6.3
F,40-44,PT,2015,11.2
F,40-44,RO,2015,4.5
F,40-44,RS,2015,14.2
F,40-44,SE,2015,4.7
F,40-44,SI,2015,7.7
F,40-44,SK,2015,11.7
F,40-44,TR,2015,8.6
F,40-59,AT,2015,4.2
F,40-59,BE,2015,5.7
F,40-59,BG,2015,7.6
F,40-59,CH,2015,4.0
F,40-59,CY,2015,11.5
F,40-59,CZ,2015,5.0
F,40-59,DE,2015,3.7
F,40-59,DK,2015,4.9
F,40-59,EE,2015,6.4
F,40-59,GR,2015,23.8
F,40-59,ES,2015,21.1
F,40-59,FI,2015,6.5
F,40-59,FR,2015,7.3
F,40-59,HR,2015,13.0
F,40-59,HU,2015,5.4
F,40-59,IE,2015,7.6
F,40-59,IS,2015,2.6
F,40-59,IT,2015,8.2
F,40-59,LT,2015,7.9
F,40-59,LU,2015,5.7
F,40-59,LV,2015,8.1
F,40-59,ME,2015,12.8
F,40-59,MK,2015,20.3
F,40-59,MT,2015,4.9
F,40-59,NL,2015,6.5
F,40-59,NO,2015,2.4
F,40-59,PL,2015,6.2
F,40-59,PT,2015,11.1
F,40-59,RO,2015,4.1
F,40-59,RS,2015,13.7
F,40-59,SE,2015,4.5
F,40-59,SI,2015,7.5
F,40-59,SK,2015,11.1
F,40-59,TR,2015,7.3
F,40-64,AT,2015,4.0
F,40-64,BE,2015,5.5
F,40-64,BG,2015,7.6
F,40-64,CH,2015,3.9
F,40-64,CY,2015,11.4
F,40-64,CZ,2015,4.8
F,40-64,DE,2015,3.8
F,40-64,DK,2015,4.9
F,40-64,EE,2015,5.8
F,40-64,GR,2015,23.0
F,40-64,ES,2015,20.7
F,40-64,FI,2015,6.6
F,40-64,FR,2015,7.2
F,40-64,HR,2015,12.5
F,40-64,HU,2015,5.5
F,40-64,IE,2015,7.6
F,40-64,IS,2015,2.7
F,40-64,IT,2015,7.8
F,40-64,LT,2015,7.6
F,40-64,LU,2015,5.7
F,40-64,LV,2015,7.7
F,40-64,ME,2015,12.4
F,40-64,MK,2015,19.6
F,40-64,MT,2015,4.7
F,40-64,NL,2015,6.8
F,40-64,NO,2015,2.2
F,40-64,PL,2015,6.0
F,40-64,PT,2015,10.9
F,40-64,RO,2015,3.9
F,40-64,RS,2015,13.0
F,40-64,SE,2015,4.6
F,40-64,SI,2015,7.4
F,40-64,SK,2015,11.0
F,40-64,TR,2015,7.0
F,45-49,AT,2015,4.5
F,45-49,BE,2015,5.5
F,45-49,BG,2015,7.0
F,45-49,CH,2015,3.7
F,45-49,CY,2015,9.2
F,45-49,CZ,2015,4.2
F,45-49,DE,2015,3.6
F,45-49,DK,2015,4.3
F,45-49,EE,2015,4.9
F,45-49,GR,2015,24.9
F,45-49,ES,2015,22.8
F,45-49,FI,2015,6.2
F,45-49,FR,2015,7.5
F,45-49,HR,2015,13.6
F,45-49,HU,2015,5.0
F,45-49,IE,2015,8.3
F,45-49,IT,2015,9.3
F,45-49,LT,2015,7.3
F,45-49,LU,2015,6.9
F,45-49,LV,2015,7.0
F,45-49,ME,2015,12.4
F,45-49,MK,2015,20.0
F,45-49,MT,2015,5.2
F,45-49,NL,2015,6.3
F,45-49,NO,2015,2.4
F,45-49,PL,2015,6.5
F,45-49,PT,2015,11.5
F,45-49,RO,2015,4.0
F,45-49,RS,2015,14.4
F,45-49,SE,2015,4.5
F,45-49,SI,2015,6.1
F,45-49,SK,2015,9.7
F,45-49,TR,2015,7.5
F,50-54,AT,2015,3.2
F,50-54,BE,2015,5.3
F,50-54,BG,2015,7.3
F,50-54,CH,2015,4.1
F,50-54,CY,2015,13.0
F,50-54,CZ,2015,4.9
F,50-54,DE,2015,3.7
F,50-54,DK,2015,5.8
F,50-54,EE,2015,6.5
F,50-54,GR,2015,21.8
F,50-54,ES,2015,20.0
F,50-54,FI,2015,6.8
F,50-54,FR,2015,6.4
F,50-54,HR,2015,12.3
F,50-54,HU,2015,5.5
F,50-54,IE,2015,7.7
F,50-54,IT,2015,7.1
F,50-54,LT,2015,8.4
F,50-54,LU,2015,7.3
F,50-54,LV,2015,8.8
F,50-54,ME,2015,11.2
F,50-54,MK,2015,21.5
F,50-54,MT,2015,5.3
F,50-54,NL,2015,6.6
F,50-54,NO,2015,2.3
